feature,importance
book_emb_377,8
book_emb_337,8
book_emb_78,8
book_emb_479,8
book_emb_97,8
book_emb_105,8
book_emb_100,8
book_emb_565,8
book_emb_101,8
book_emb_637,8
book_emb_606,8
book_emb_290,8
book_emb_220,8
book_emb_505,8
book_emb_654,8
book_emb_365,8
book_emb_206,8
book_emb_704,8
book_emb_87,8
book_emb_702,8
book_emb_465,7
book_emb_110,7
book_emb_747,7
book_emb_181,7
book_emb_10,7
book_emb_730,7
book_emb_441,7
book_emb_455,7
book_emb_474,7
book_emb_476,7
book_emb_675,7
book_emb_286,7
book_emb_625,7
book_emb_444,7
book_emb_652,7
book_emb_656,7
book_emb_507,7
book_emb_497,7
book_emb_428,7
book_emb_429,7
book_emb_379,7
book_emb_541,7
book_emb_89,7
book_emb_403,7
book_emb_393,7
book_emb_705,7
book_emb_635,7
book_emb_715,7
book_emb_588,7
book_emb_568,7
book_emb_376,7
book_emb_98,7
book_emb_341,7
book_emb_294,7
book_emb_214,7
book_emb_292,7
book_emb_594,7
book_emb_596,7
book_emb_748,7
book_emb_719,7
book_emb_758,6
book_emb_760,6
book_emb_13,6
book_emb_603,6
book_emb_604,6
book_emb_639,6
book_emb_641,6
book_emb_572,6
book_emb_543,6
book_emb_546,6
book_emb_18,6
book_emb_566,6
book_emb_558,6
book_emb_643,6
book_emb_646,6
book_emb_71,6
book_emb_281,6
book_emb_149,6
book_emb_323,6
book_emb_218,6
book_emb_251,6
book_emb_362,6
book_emb_150,6
book_emb_302,6
book_emb_422,6
book_emb_406,6
book_emb_415,6
book_emb_381,6
book_emb_683,6
book_emb_453,6
book_emb_440,6
book_emb_462,6
book_emb_662,6
book_emb_494,6
book_emb_482,6
book_emb_480,6
book_emb_499,6
book_emb_163,6
book_emb_169,6
book_emb_309,5
book_emb_437,5
book_emb_386,5
book_emb_538,5
book_emb_446,5
book_emb_358,5
book_emb_682,5
book_emb_689,5
book_emb_405,5
book_emb_650,5
book_emb_636,5
book_emb_647,5
book_emb_563,5
book_emb_104,5
book_emb_746,5
book_emb_542,5
book_emb_570,5
book_emb_624,5
book_emb_732,5
book_emb_456,5
book_emb_493,5
book_emb_514,5
book_emb_495,5
book_emb_426,5
book_emb_9,4
book_emb_617,4
book_emb_551,4
book_emb_560,4
book_emb_525,4
book_emb_531,4
book_emb_737,4
book_emb_55,4
book_emb_167,4
book_emb_331,4
book_emb_549,4
book_emb_767,4
book_emb_421,4
book_emb_449,4
book_emb_478,4
book_emb_287,4
book_emb_318,4
book_emb_679,4
book_emb_539,4
book_emb_126,4
book_emb_317,4
book_emb_371,4
book_emb_316,4
book_emb_234,4
book_emb_634,3
book_emb_623,3
book_emb_523,3
book_emb_649,3
book_emb_540,3
book_emb_432,3
book_emb_66,3
book_emb_352,3
book_emb_168,3
book_emb_54,3
book_emb_64,3
book_emb_485,2
book_emb_751,2
publication_era,0
