feature,importance
book_emb_201,0.0005771388225944251
book_emb_258,0.0005749976488426346
book_emb_237,0.0005738193526246494
book_emb_299,0.0005728772144971968
book_emb_34,0.0005694070875991818
book_emb_163,0.0005631028151843066
book_emb_162,0.0005629385122487583
book_emb_170,0.0005623595090807412
book_emb_420,0.0005622249274663697
book_emb_516,0.0005593362934695383
book_emb_194,0.0005577220291578039
book_emb_373,0.0005542013631137862
book_emb_252,0.0005531164316692392
book_emb_35,0.0005486906018109247
book_emb_238,0.0005480339077406267
book_emb_79,0.0005469283008840435
book_emb_184,0.000544034842662738
book_emb_121,0.000543659332768083
book_emb_70,0.0005427066162115168
book_emb_272,0.0005420347317048605
book_emb_96,0.0005402187125312876
book_emb_256,0.000538406094377145
book_emb_98,0.000538062791683733
book_emb_500,0.0005377573791118154
book_emb_102,0.0005374240726422506
book_emb_288,0.000534809571112639
book_emb_10,0.0005324406996211824
book_emb_302,0.0005317098423352753
book_emb_203,0.00052858983798939
book_emb_2,0.0005276716513372381
book_emb_330,0.0005241449467803712
book_emb_13,0.0005209189346112517
book_emb_12,0.0005173842147234908
book_emb_114,0.0005164392930053916
book_emb_317,0.0005135575003130563
book_emb_271,0.0005134284002464052
book_emb_134,0.000511202189107775
book_emb_750,0.0005073153072276641
book_emb_15,0.0005037851230361032
book_emb_263,0.0005026043870829012
book_emb_0,0.0005015098193549797
book_emb_173,0.0005001856827890005
book_emb_125,0.0005001605245310075
book_emb_144,0.0004966387783166073
book_emb_164,0.0004953214744398977
book_emb_95,0.0004948146792610535
book_emb_42,0.0004942246599050457
book_emb_227,0.0004934888674748302
book_emb_154,0.0004930827078056926
book_emb_53,0.000492128474714837
book_emb_21,0.0004920062615398359
book_emb_26,0.0004906317158640009
book_emb_9,0.0004889506801763021
book_emb_17,0.0004880985001779743
book_emb_51,0.0004878606856795907
book_emb_211,0.0004863515823689207
book_emb_56,0.0004857457346314067
book_emb_135,0.00048494485785863483
book_emb_183,0.00047999456104777657
book_emb_215,0.0004794245534507326
book_emb_248,0.00047877576961539645
book_emb_305,0.0004778959520707575
book_emb_49,0.00047768306908671005
book_emb_212,0.0004762347314771425
book_emb_83,0.000474862160526102
book_emb_36,0.0004743888597103111
book_emb_279,0.00047381078226789165
book_emb_361,0.0004726370158378262
book_emb_323,0.0004695964530448007
book_emb_246,0.00046893002994015636
book_emb_628,0.000466976789660523
book_emb_370,0.00046551253901723857
book_emb_287,0.0004648796304453262
book_emb_622,0.0004626381751225763
book_emb_490,0.00046258358724937643
book_emb_130,0.0004615815339825012
book_emb_67,0.0004607315106488793
book_emb_575,0.00045875526657858455
book_emb_122,0.0004572522058615409
book_emb_181,0.00045710697207314126
book_emb_349,0.00045619141350279494
book_emb_143,0.00045556495092696845
book_emb_229,0.0004511068211085309
book_emb_347,0.00045108252869627345
book_emb_291,0.00045065664629057224
book_emb_447,0.000449595988691135
book_emb_264,0.00044769105794897776
book_emb_343,0.0004475608178606484
book_emb_233,0.00044633983355624304
book_emb_207,0.0004457347701451808
book_emb_69,0.0004436153249704678
book_emb_43,0.0004431853245487839
book_emb_172,0.00044303387878326947
book_emb_278,0.0004426447781207198
book_emb_303,0.00044246848973988467
book_emb_91,0.00044204515373464146
book_emb_193,0.00044131551580479987
book_emb_375,0.00044013563813713653
book_emb_47,0.0004394994744538512
book_emb_105,0.0004381992621687386
book_emb_713,0.00043798483159654335
book_emb_573,0.0004372354724620512
book_emb_276,0.00043703426579574163
book_emb_294,0.0004362687343109418
book_emb_292,0.0004360476417013331
book_emb_5,0.0004357108730460343
book_emb_6,0.000435678018563232
book_emb_718,0.00043548287504167844
book_emb_358,0.00043332754374921916
book_emb_300,0.00042986159465141646
book_emb_133,0.00042985024632871737
book_emb_381,0.0004292743452435546
book_emb_277,0.00042797054903077317
book_emb_111,0.00042714267481367606
book_emb_309,0.00042683683681972716
book_emb_74,0.00042625779508305656
book_emb_190,0.0004233030989291356
book_emb_312,0.0004226787612852201
book_emb_75,0.00042212633360069827
book_emb_367,0.000420272922490725
book_emb_267,0.0004198937625196268
book_emb_31,0.0004195482159833501
book_emb_313,0.00041808891474807655
book_emb_66,0.00041653448994173966
book_emb_329,0.00041573945366473304
book_emb_180,0.0004145210555161175
book_emb_169,0.00041296903879246296
book_emb_380,0.0004126865339138044
book_emb_613,0.0004124206882820781
book_emb_216,0.0004113175860859071
book_emb_197,0.0004090007232723777
book_emb_281,0.00040898023613325106
book_emb_71,0.00040891237378802727
book_emb_39,0.000407933364422419
book_emb_152,0.0004078611372332902
book_emb_265,0.0004075990716481528
book_emb_160,0.0004075133751186661
book_emb_761,0.00040722065015724853
book_emb_445,0.0004070587130730286
book_emb_90,0.0004068829065030825
book_emb_644,0.0004066257951260872
book_emb_508,0.0004055979584849783
book_emb_76,0.000405551086040457
book_emb_274,0.00040430805736703547
book_emb_11,0.00040356317520738984
book_emb_185,0.00040313705036055885
book_emb_204,0.0004030177992720305
book_emb_88,0.0004011341359198046
book_emb_221,0.00039802947040360777
book_emb_119,0.00039691802065970226
book_emb_736,0.0003967256551440749
book_emb_174,0.0003965922964234413
book_emb_517,0.00039531257748641864
book_emb_159,0.0003946015857205989
book_emb_674,0.0003938504934895111
book_emb_54,0.0003937090257961444
book_emb_364,0.0003931128219042048
book_emb_28,0.0003926992147164458
book_emb_92,0.0003925811243395476
book_emb_261,0.0003924947320910365
book_emb_65,0.00039156013144944296
book_emb_700,0.0003905701978348815
book_emb_678,0.0003899097317094875
book_emb_191,0.00038918250873324386
book_emb_16,0.0003875541682636899
book_emb_479,0.00038697621547633564
book_emb_45,0.0003864900066834155
book_emb_552,0.0003848401967700675
book_emb_219,0.0003843523364234198
book_emb_577,0.0003835981474324221
book_emb_320,0.0003833422399621333
book_emb_285,0.0003829579067144225
book_emb_182,0.00038223444584598346
book_emb_286,0.00038201167481887073
book_emb_665,0.0003810404388961287
book_emb_254,0.00038103915502219984
book_emb_640,0.00038032182493061734
book_emb_339,0.00038026869415838384
book_emb_20,0.0003796364347597901
book_emb_210,0.0003795241605083625
book_emb_314,0.00037850612166896627
book_emb_176,0.0003779594153292645
book_emb_242,0.0003777415939611914
book_emb_559,0.000376355708513894
book_emb_200,0.00037626598532938365
book_emb_341,0.000375989050240922
book_emb_107,0.00037597512855018825
book_emb_260,0.0003719068230609026
book_emb_126,0.00037080464779466423
book_emb_157,0.0003704698598734554
book_emb_716,0.00037025197369093175
book_emb_93,0.0003694854369861962
book_emb_179,0.00036921469016638626
book_emb_308,0.00036921368351474694
book_emb_145,0.0003691477927127813
book_emb_486,0.0003688088046758198
book_emb_692,0.00036808094184778516
book_emb_32,0.00036794349104201285
book_emb_282,0.0003675226379145568
book_emb_131,0.00036730097490307064
book_emb_740,0.0003671613807825878
book_emb_23,0.0003664854951342102
book_emb_362,0.0003660589346099891
book_emb_371,0.00036602133636140093
book_emb_321,0.0003655775552575476
book_emb_290,0.00036459963538734664
book_emb_578,0.0003645781445908032
book_emb_243,0.00036401698019801617
book_emb_360,0.0003639138679105162
book_emb_104,0.00036358982048675297
book_emb_625,0.00036341623232904563
book_emb_295,0.000362932676716406
book_emb_33,0.0003628020158172229
book_emb_694,0.0003625090525231525
book_emb_379,0.00036222950898049495
book_emb_706,0.0003610446243046436
book_emb_526,0.000360704778593348
book_emb_392,0.00036067192922378854
book_emb_431,0.00036049900423252424
book_emb_589,0.0003604764522357697
book_emb_187,0.000360313586769026
book_emb_156,0.00035973131776389757
book_emb_87,0.0003594328112052466
book_emb_368,0.0003590780991411544
book_emb_257,0.0003590632184738692
book_emb_150,0.0003587539334984986
book_emb_759,0.0003583581010611286
book_emb_764,0.0003580510225803697
book_emb_3,0.00035798158998725897
book_emb_293,0.000357928651191152
book_emb_467,0.00035741733559018364
book_emb_583,0.0003571921421386047
book_emb_505,0.00035715058484409235
book_emb_44,0.00035688602367062546
book_emb_499,0.00035627880116228383
book_emb_354,0.00035610280465367736
book_emb_297,0.00035583432753409985
book_emb_642,0.0003551678492694816
book_emb_612,0.00035490441705010513
book_emb_140,0.000354682597983481
book_emb_568,0.00035435142623366125
book_emb_234,0.00035400663131167554
book_emb_610,0.000353959407777322
book_emb_230,0.0003539044757491783
book_emb_165,0.0003538696246506183
book_emb_52,0.0003534047888109403
book_emb_155,0.0003531706203745054
book_emb_311,0.0003526464568697022
book_emb_213,0.00035215734987592784
book_emb_27,0.00035204526778159133
book_emb_205,0.00035179448697298727
book_emb_377,0.0003511005018567213
book_emb_146,0.0003502908790516444
book_emb_161,0.0003499949941146347
book_emb_391,0.0003481889372078972
book_emb_603,0.00034760915033411123
book_emb_284,0.0003474798657710613
book_emb_209,0.00034738976400854114
book_emb_151,0.00034703991804556437
book_emb_636,0.0003469861993994704
book_emb_439,0.00034621607121864957
book_emb_59,0.00034618022842806517
book_emb_270,0.00034570007448208933
book_emb_322,0.0003453323759160974
book_emb_465,0.0003452533213817941
book_emb_537,0.0003447697781274125
book_emb_113,0.00034467784326080807
book_emb_631,0.00034328880982944626
book_emb_369,0.0003431322683838648
book_emb_355,0.0003428909794123461
book_emb_639,0.00034256746580344286
book_emb_137,0.00034219024256562256
book_emb_606,0.0003420247210592375
book_emb_742,0.0003420031135171817
book_emb_192,0.0003418631029460745
book_emb_521,0.0003417482583498867
book_emb_458,0.00034116915773062993
book_emb_374,0.0003407308818823259
book_emb_590,0.00034072531263895726
book_emb_103,0.0003403364015247064
book_emb_671,0.00034033003230925213
book_emb_64,0.00034030602798807363
book_emb_492,0.0003398322846872455
book_emb_46,0.00033971468216206476
book_emb_365,0.00033970000319456106
book_emb_123,0.00033927245791867054
book_emb_450,0.00033907091759940186
book_emb_390,0.00033774637437950823
book_emb_670,0.0003376089176228321
book_emb_669,0.00033760707746419166
book_emb_120,0.00033758282728760117
book_emb_630,0.00033758173523158275
book_emb_383,0.0003372887112530317
book_emb_443,0.0003372010513521598
book_emb_58,0.00033682649944862084
book_emb_283,0.0003368234345021244
book_emb_608,0.00033637560065171324
book_emb_109,0.0003363207158944681
book_emb_668,0.00033621150299034945
book_emb_693,0.0003358896737488572
book_emb_688,0.00033548046382128794
book_emb_550,0.00033511206577770824
book_emb_55,0.000334157836926632
book_emb_19,0.0003341265439729526
book_emb_756,0.0003339588754519713
book_emb_337,0.00033361438116161354
book_emb_82,0.00033329157261404363
book_emb_715,0.00033316922737053415
book_emb_348,0.0003331536279185177
book_emb_722,0.00033287362335954906
book_emb_178,0.0003328604001703609
book_emb_199,0.00033236451428211486
book_emb_554,0.00033232312761096296
book_emb_751,0.0003322655692089679
book_emb_333,0.00033178813240913874
book_emb_115,0.0003317346353280304
book_emb_456,0.00033172003664550616
book_emb_626,0.0003315465677926519
book_emb_641,0.000331319476990042
book_emb_228,0.00033120391386914303
book_emb_557,0.0003303724819832115
book_emb_558,0.00033034378817322507
book_emb_754,0.00033016362189318014
book_emb_167,0.000329592358094967
book_emb_298,0.00032955778799989024
book_emb_397,0.00032924163461240627
book_emb_544,0.00032921050435308406
book_emb_316,0.00032889575719833577
